PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5NG,Central Lancashire PCT,0.42%,4.22%,4.67%,92.94%,90.48%,95.24%,80.35%,92.25%,91.68%,85.88%,81.75%,87.04%,59.82%,28.55%,68.19%,92.89%,43.50%,79.01%,34.10%,43.47%,20.03%
5C3,City And Hackney Teaching PCT,0.25%,3.74%,4.02%,93.44%,92.23%,95.88%,75.87%,93.51%,93.03%,85.30%,88.53%,90.01%,62.66%,22.07%,61.58%,90.36%,42.31%,78.26%,40.99%,49.17%,22.41%
5QP,Cornwall And Isles Of Scilly PCT,0.41%,4.07%,4.68%,89.72%,87.47%,93.10%,75.33%,92.53%,90.85%,82.67%,81.00%,55.98%,37.12%,27.33%,62.84%,92.30%,34.04%,73.33%,34.74%,44.03%,17.32%
5ND,County Durham PCT,0.48%,4.75%,5.28%,95.14%,92.27%,96.81%,84.96%,94.96%,94.08%,86.42%,85.57%,89.37%,65.33%,33.66%,65.78%,92.82%,36.83%,75.91%,35.18%,44.04%,19.55%
5MD,Coventry Teaching PCT,0.38%,3.82%,4.26%,92.56%,90.43%,95.46%,67.99%,92.82%,91.71%,79.27%,84.47%,87.97%,48.13%,24.02%,65.76%,91.57%,41.83%,79.73%,37.18%,45.38%,21.65%
5K9,Croydon PCT,0.32%,4.39%,4.75%,91.58%,89.31%,94.05%,72.00%,91.75%,89.82%,80.07%,82.92%,79.61%,50.02%,25.64%,65.34%,91.29%,35.12%,74.33%,33.73%,41.80%,18.39%
5NE,Cumbria Teaching PCT,0.51%,4.05%,4.61%,93.72%,89.47%,95.22%,80.18%,94.73%,92.63%,79.57%,83.61%,86.71%,58.10%,19.82%,61.14%,92.70%,38.25%,75.66%,34.29%,44.74%,17.58%
5J9,Darlington PCT,0.41%,4.52%,4.96%,95.06%,93.32%,96.47%,84.99%,95.59%,94.48%,86.49%,85.28%,92.39%,70.73%,34.72%,67.07%,92.90%,42.09%,79.61%,41.30%,49.99%,24.22%
5N7,Derby City PCT,0.38%,4.82%,5.42%,93.12%,90.23%,95.47%,79.80%,93.33%,90.53%,82.87%,83.66%,85.97%,58.77%,25.13%,65.22%,92.22%,45.26%,78.55%,36.49%,43.96%,20.77%
5N6,Derbyshire County PCT,0.43%,4.40%,4.93%,94.91%,90.54%,96.44%,81.88%,94.71%,88.56%,83.77%,85.16%,85.89%,56.65%,25.14%,62.82%,92.98%,42.70%,76.81%,36.83%,45.95%,19.81%
5QQ,Devon PCT,0.42%,3.93%,4.41%,93.62%,89.80%,95.22%,81.55%,94.47%,92.64%,82.58%,85.01%,80.19%,57.97%,25.52%,62.92%,92.96%,35.85%,73.85%,37.22%,46.17%,18.82%
5N5,Doncaster PCT,0.38%,4.85%,5.31%,94.21%,92.55%,95.38%,81.81%,94.16%,92.96%,88.26%,87.97%,92.31%,69.94%,24.16%,65.62%,93.15%,43.69%,79.23%,39.76%,51.02%,22.41%
5QM,Dorset PCT,0.44%,4.21%,5.07%,94.61%,89.92%,95.62%,80.07%,94.77%,93.46%,86.04%,86.62%,86.48%,63.01%,23.79%,63.85%,93.37%,35.10%,74.86%,33.85%,43.37%,17.71%
5PE,Dudley PCT,0.40%,4.23%,4.67%,93.33%,91.76%,95.97%,62.27%,93.81%,92.15%,76.48%,86.22%,88.04%,46.69%,25.16%,64.87%,92.98%,40.13%,78.23%,36.15%,43.83%,20.61%
5HX,Ealing PCT,0.37%,4.39%,4.84%,90.97%,85.89%,93.90%,75.06%,91.25%,90.82%,84.12%,84.20%,82.92%,55.12%,20.64%,57.91%,89.63%,42.04%,77.55%,36.98%,45.38%,18.73%
5NH,East Lancashire Teaching PCT,0.39%,4.18%,4.59%,94.08%,91.27%,94.33%,74.06%,93.78%,92.03%,87.16%,83.34%,86.53%,57.30%,20.84%,61.27%,91.35%,39.45%,76.17%,40.28%,48.49%,20.91%
5NW,East Riding Of Yorkshire PCT,0.46%,4.43%,5.12%,95.30%,91.93%,96.81%,84.09%,95.85%,93.85%,87.02%,87.00%,91.13%,68.53%,28.29%,66.91%,93.96%,38.64%,76.10%,36.75%,44.37%,20.32%
5P7,East Sussex Downs And Weald PCT,0.38%,3.99%,4.40%,91.77%,87.04%,94.10%,65.36%,90.07%,91.11%,79.34%,83.67%,84.97%,45.62%,28.03%,67.92%,93.52%,38.88%,77.30%,36.60%,44.72%,21.21%
5QA,Eastern And Coastal Kent PCT,0.46%,4.33%,4.83%,92.77%,89.54%,94.82%,80.42%,93.38%,92.22%,83.05%,84.81%,85.27%,60.00%,31.68%,68.16%,93.24%,37.15%,76.95%,35.25%,43.54%,20.46%
5C1,Enfield PCT,0.30%,4.62%,5.01%,90.81%,89.57%,94.97%,79.76%,92.05%,91.13%,76.82%,83.56%,85.48%,55.52%,30.83%,65.86%,90.99%,40.42%,79.69%,34.31%,41.45%,20.62%
5KF,Gateshead PCT,0.42%,4.42%,4.87%,95.97%,92.54%,96.65%,85.60%,95.70%,94.82%,87.30%,84.41%,93.85%,69.37%,33.55%,68.80%,92.58%,41.08%,77.73%,38.98%,48.94%,23.25%
5QH,Gloucestershire PCT,0.42%,4.19%,4.66%,93.74%,90.63%,95.55%,81.76%,94.76%,92.83%,79.48%,84.05%,86.15%,58.68%,30.99%,66.01%,92.65%,40.44%,75.81%,35.70%,43.51%,19.51%
5PR,Great Yarmouth And Waveney PCT,0.46%,4.65%,5.14%,93.59%,88.29%,94.58%,73.10%,93.12%,91.11%,88.11%,84.90%,87.85%,59.87%,17.88%,57.56%,90.97%,35.68%,73.81%,32.96%,43.99%,15.53%
5A8,Greenwich Teaching PCT,0.31%,3.68%,4.08%,92.43%,92.86%,95.51%,79.78%,91.91%,91.48%,80.89%,85.26%,86.09%,59.24%,23.99%,59.99%,88.95%,34.80%,73.33%,36.65%,43.91%,18.36%
5NM,Halton And St Helens PCT,0.45%,4.99%,5.47%,94.21%,91.44%,96.02%,84.48%,93.52%,92.39%,86.46%,85.56%,87.14%,62.13%,38.80%,70.63%,93.19%,46.73%,81.77%,38.04%,47.79%,24.42%
5H1,Hammersmith And Fulham PCT,0.35%,2.90%,3.37%,88.66%,88.26%,93.78%,64.59%,88.96%,88.57%,67.94%,78.71%,83.09%,41.59%,32.36%,65.21%,90.94%,40.48%,77.79%,38.17%,45.49%,21.84%
5QC,Hampshire PCT,0.42%,3.77%,4.23%,92.01%,88.98%,94.76%,72.59%,91.95%,90.98%,82.71%,84.41%,84.30%,53.52%,24.03%,60.67%,91.91%,40.07%,77.71%,33.72%,42.01%,17.15%
5C9,Haringey Teaching PCT,0.28%,4.03%,4.37%,89.05%,88.69%,94.24%,72.48%,89.98%,89.42%,76.60%,82.86%,81.28%,49.48%,28.57%,62.69%,89.31%,39.97%,76.33%,36.34%,43.20%,19.89%
5K6,Harrow PCT,0.28%,5.68%,6.03%,92.45%,89.03%,94.87%,81.57%,93.10%,92.05%,85.50%,84.26%,80.43%,58.65%,18.25%,62.83%,92.73%,38.16%,77.53%,36.97%,44.65%,20.50%
5D9,Hartlepool PCT,0.53%,3.77%,4.32%,93.59%,90.66%,95.84%,79.60%,94.34%,93.06%,81.95%,84.62%,80.94%,56.12%,27.52%,61.66%,91.56%,38.44%,75.34%,40.03%,48.47%,21.18%
5P8,Hastings And Rother PCT,0.51%,4.77%,5.30%,94.58%,92.20%,96.56%,82.08%,95.29%,94.27%,83.90%,89.17%,88.78%,65.48%,27.25%,67.25%,93.19%,41.82%,79.20%,35.84%,45.09%,20.68%
5A4,Havering PCT,0.43%,3.87%,4.49%,90.75%,89.38%,94.99%,64.48%,91.90%,90.81%,80.54%,82.78%,79.63%,44.02%,23.76%,63.83%,91.89%,42.23%,81.35%,28.18%,38.72%,16.14%
5MX,Heart Of Birmingham Teaching PCT,0.32%,6.47%,6.91%,93.22%,92.67%,95.49%,79.91%,93.75%,93.18%,72.90%,87.68%,86.68%,53.61%,23.01%,62.36%,89.74%,40.36%,75.28%,38.51%,46.30%,20.90%
5CN,Herefordshire PCT,0.42%,4.43%,4.88%,95.27%,90.74%,96.42%,84.47%,95.48%,93.70%,84.93%,86.44%,90.54%,66.00%,27.06%,68.07%,93.46%,39.17%,75.21%,30.64%,38.83%,17.61%
5QV,Hertfordshire PCT,0.42%,3.37%,3.84%,92.27%,89.80%,95.09%,71.61%,92.66%,90.96%,84.45%,84.69%,84.23%,53.06%,28.37%,65.50%,93.06%,38.78%,77.66%,35.59%,42.95%,19.85%
5NQ,"Heywood, Middleton And Rochdale PCT",0.39%,4.44%,4.86%,92.43%,90.05%,94.43%,70.97%,93.12%,91.77%,79.63%,84.87%,90.17%,54.35%,20.79%,62.13%,91.92%,41.56%,77.99%,35.46%,44.21%,19.31%
5AT,Hillingdon PCT,0.38%,4.25%,4.68%,90.24%,89.38%,94.06%,77.81%,90.12%,89.61%,86.14%,83.36%,81.16%,55.67%,23.50%,58.65%,91.94%,46.43%,80.56%,36.57%,42.32%,19.59%
5HY,Hounslow PCT,0.38%,4.44%,4.89%,64.54%,87.73%,93.24%,69.39%,90.25%,89.72%,75.44%,81.14%,76.93%,30.97%,19.78%,58.74%,90.56%,39.89%,77.49%,35.93%,42.86%,18.09%
5NX,Hull Teaching PCT,0.48%,4.06%,4.86%,94.68%,91.49%,96.67%,83.24%,95.51%,93.68%,80.39%,85.90%,87.90%,60.17%,34.20%,67.06%,92.13%,36.21%,74.32%,32.94%,40.05%,17.81%
5QT,Isle Of Wight NHS PCT,0.48%,4.26%,4.78%,92.45%,89.55%,95.20%,75.24%,93.43%,89.79%,73.45%,82.95%,84.14%,47.26%,19.65%,61.92%,91.96%,41.41%,77.08%,36.64%,44.50%,18.56%
5K8,Islington PCT,0.33%,3.53%,3.89%,90.31%,89.47%,93.94%,79.12%,91.03%,90.50%,45.46%,83.75%,84.80%,34.41%,30.17%,65.29%,91.10%,38.66%,75.25%,42.30%,50.48%,22.86%
5LA,Kensington And Chelsea PCT,0.31%,2.78%,3.17%,89.67%,91.20%,94.05%,67.88%,89.46%,88.59%,77.33%,83.32%,76.01%,42.74%,27.72%,63.40%,91.21%,40.32%,78.45%,38.97%,47.65%,20.89%
5A5,Kingston PCT,0.30%,3.40%,3.76%,91.14%,86.49%,93.37%,63.70%,91.05%,90.59%,80.23%,84.21%,80.63%,45.25%,28.94%,67.64%,93.94%,33.73%,73.67%,33.46%,42.32%,18.17%
