PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5NV,North Yorkshire And York PCT,0.42%,3.56%,4.02%,95.81%,92.04%,96.48%,80.63%,95.70%,93.97%,87.71%,87.48%,89.30%,65.05%,21.65%,62.26%,92.98%,38.31%,76.42%,35.61%,43.40%,18.85%
5PD,Northamptonshire Teaching PCT,0.45%,3.93%,4.43%,93.03%,89.08%,95.37%,75.68%,92.73%,91.76%,82.69%,82.79%,87.68%,55.99%,20.18%,58.30%,90.51%,37.73%,76.46%,37.37%,45.18%,18.51%
TAC,Northumberland Care Trust,0.47%,4.73%,5.35%,96.17%,92.90%,96.70%,83.26%,95.53%,94.74%,85.29%,86.44%,90.78%,65.07%,20.22%,62.74%,92.41%,44.20%,77.52%,38.26%,49.70%,20.31%
5EM,Nottingham City PCT,0.41%,3.50%,3.99%,91.36%,87.57%,92.49%,78.69%,89.96%,87.98%,79.06%,82.19%,86.05%,58.80%,25.19%,59.36%,89.11%,42.85%,77.77%,37.05%,45.34%,18.03%
5N8,Nottinghamshire County Teaching PCT,0.47%,3.95%,4.50%,94.56%,90.51%,96.16%,80.76%,94.22%,92.02%,85.11%,85.75%,85.72%,60.94%,22.37%,61.26%,92.28%,43.31%,78.59%,38.24%,46.84%,20.18%
5J5,Oldham PCT,0.34%,4.44%,4.81%,93.27%,89.57%,95.07%,75.23%,93.28%,92.26%,83.20%,80.90%,84.80%,52.76%,19.41%,63.60%,92.44%,46.61%,80.82%,38.56%,47.21%,21.56%
5QE,Oxfordshire PCT,0.38%,3.21%,3.69%,84.94%,80.63%,86.16%,72.53%,85.55%,84.44%,75.15%,76.69%,80.48%,52.97%,28.17%,61.99%,92.27%,45.85%,80.55%,36.25%,44.44%,19.69%
5PN,Peterborough PCT,0.44%,4.23%,4.74%,91.84%,89.68%,94.77%,63.26%,92.49%,90.63%,80.92%,85.55%,89.42%,50.06%,16.61%,53.83%,87.88%,40.27%,76.27%,32.40%,39.20%,15.08%
5F1,Plymouth Teaching PCT,0.44%,3.60%,4.26%,90.92%,90.45%,95.01%,79.94%,92.88%,91.54%,77.82%,81.88%,64.16%,43.48%,27.68%,63.25%,91.77%,41.99%,78.95%,36.13%,45.25%,19.92%
5FE,Portsmouth City Teaching PCT,0.41%,3.57%,4.03%,91.77%,89.11%,94.37%,65.61%,93.09%,91.41%,82.19%,81.48%,84.29%,46.81%,19.89%,59.44%,91.10%,45.21%,80.43%,35.81%,42.81%,18.50%
5NA,Redbridge PCT,0.28%,5.05%,5.41%,90.06%,89.73%,94.16%,64.20%,90.66%,89.94%,80.58%,84.76%,79.01%,44.35%,22.76%,63.47%,91.73%,40.98%,78.60%,33.86%,42.59%,18.70%
5QR,Redcar And Cleveland PCT,0.45%,4.49%,5.00%,95.52%,93.04%,97.50%,71.43%,96.92%,96.03%,91.10%,90.18%,88.73%,58.25%,27.54%,65.44%,93.00%,42.75%,79.26%,38.28%,47.60%,21.66%
5M6,Richmond And Twickenham PCT,0.27%,2.28%,2.61%,91.70%,87.36%,94.38%,69.32%,92.48%,92.18%,80.79%,83.27%,75.68%,45.20%,30.15%,67.20%,93.99%,38.02%,77.38%,40.37%,48.34%,20.66%
5H8,Rotherham PCT,0.40%,4.30%,4.73%,94.03%,90.62%,95.97%,76.28%,93.63%,92.75%,79.39%,85.87%,87.95%,55.76%,28.36%,64.16%,91.67%,46.62%,81.80%,38.95%,46.74%,22.72%
5F5,Salford PCT,0.39%,4.12%,4.58%,94.64%,91.60%,96.45%,83.14%,95.07%,93.23%,76.95%,81.73%,90.17%,56.56%,35.74%,69.15%,92.85%,43.34%,79.31%,40.63%,50.46%,24.81%
5PF,Sandwell PCT,0.35%,5.12%,5.81%,91.57%,90.01%,94.84%,81.01%,92.22%,91.52%,75.28%,85.47%,82.97%,54.40%,28.47%,67.23%,91.76%,40.09%,77.83%,39.21%,48.26%,23.08%
5NJ,Sefton PCT,0.40%,4.25%,4.69%,90.69%,85.60%,93.07%,77.22%,90.36%,89.69%,83.70%,80.30%,81.78%,57.28%,30.66%,69.07%,93.17%,42.12%,77.90%,35.89%,45.76%,21.22%
5N4,Sheffield PCT,0.40%,4.23%,4.69%,94.84%,90.81%,96.42%,80.50%,94.86%,93.27%,79.29%,87.89%,86.39%,58.29%,20.70%,61.80%,91.53%,45.08%,79.92%,39.16%,47.58%,21.16%
5M2,Shropshire County PCT,0.40%,3.94%,4.36%,93.33%,88.43%,95.27%,83.58%,94.15%,93.08%,84.93%,80.02%,70.96%,47.65%,29.91%,66.49%,94.13%,38.34%,78.38%,34.15%,42.66%,20.78%
5QW,Solihull PCT,0.41%,4.14%,4.59%,94.35%,91.66%,96.03%,74.16%,94.32%,93.78%,81.38%,87.58%,86.12%,54.57%,22.19%,67.00%,94.17%,41.11%,78.16%,34.00%,41.63%,19.43%
5QL,Somerset PCT,0.42%,4.20%,4.78%,93.66%,89.28%,95.34%,69.60%,94.77%,93.38%,83.31%,84.50%,83.55%,51.06%,19.44%,59.38%,90.69%,41.96%,78.59%,34.26%,45.39%,17.23%
5M1,South Birmingham PCT,0.39%,3.91%,4.35%,93.89%,91.47%,95.34%,76.16%,94.18%,93.35%,80.24%,86.63%,88.46%,57.14%,21.76%,62.04%,91.02%,41.43%,76.61%,35.36%,45.02%,19.54%
5P1,South East Essex PCT,0.44%,4.05%,4.63%,90.71%,87.90%,93.88%,72.22%,90.87%,90.32%,82.42%,82.84%,77.20%,48.47%,25.96%,65.48%,92.90%,38.81%,76.70%,34.59%,41.38%,19.37%
5A3,South Gloucestershire PCT,0.44%,3.44%,3.92%,93.66%,90.94%,95.06%,80.42%,93.62%,92.04%,83.94%,86.70%,87.57%,62.67%,26.37%,62.17%,91.87%,40.54%,77.48%,36.74%,45.54%,19.89%
5PK,South Staffordshire PCT,0.42%,4.03%,4.47%,92.56%,91.35%,94.06%,76.04%,92.88%,91.72%,82.26%,84.03%,87.73%,60.36%,18.60%,60.12%,92.10%,41.33%,77.64%,34.71%,42.21%,17.93%
5KG,South Tyneside PCT,0.48%,5.11%,5.65%,93.35%,89.32%,95.55%,77.27%,92.06%,91.23%,87.68%,87.61%,88.44%,62.07%,34.00%,67.11%,92.73%,41.63%,76.68%,37.24%,45.74%,22.07%
5PY,South West Essex PCT,0.42%,3.95%,4.69%,91.49%,90.08%,95.34%,68.92%,92.06%,91.76%,87.20%,85.15%,78.54%,47.80%,30.72%,68.22%,93.49%,41.80%,78.29%,36.41%,43.62%,21.82%
5L1,Southampton City PCT,0.42%,3.48%,3.96%,92.49%,89.88%,94.81%,71.45%,65.89%,91.17%,82.89%,84.55%,87.30%,41.89%,23.52%,55.45%,89.78%,41.09%,77.47%,37.43%,44.16%,17.89%
5LE,Southwark PCT,0.31%,3.21%,3.56%,91.70%,87.03%,94.21%,76.68%,89.37%,88.99%,79.23%,82.35%,76.38%,50.51%,24.06%,61.95%,90.50%,38.50%,75.62%,37.60%,44.22%,19.82%
5F7,Stockport PCT,0.48%,3.96%,4.48%,94.50%,90.98%,95.82%,82.62%,93.42%,93.25%,84.13%,82.05%,85.11%,58.00%,31.29%,67.40%,94.05%,46.66%,79.85%,40.26%,48.87%,23.59%
5E1,Stockton-On-Tees Teaching PCT,0.45%,3.61%,4.16%,93.48%,91.11%,94.84%,80.73%,94.24%,92.45%,85.75%,87.06%,88.63%,64.62%,25.43%,60.32%,91.54%,45.07%,78.44%,37.86%,45.21%,19.77%
5PJ,Stoke On Trent PCT,0.39%,5.10%,5.53%,93.36%,90.90%,96.02%,48.50%,92.90%,90.75%,78.85%,84.11%,89.31%,34.94%,30.22%,63.66%,91.85%,44.60%,80.88%,38.24%,46.77%,21.46%
5PT,Suffolk PCT,0.46%,3.74%,4.27%,93.82%,90.78%,95.42%,75.29%,93.43%,91.35%,84.76%,85.83%,88.35%,59.81%,18.77%,59.00%,92.53%,40.76%,77.28%,35.03%,43.47%,17.75%
5KL,Sunderland Teaching PCT,0.46%,4.41%,4.91%,94.97%,92.94%,96.21%,85.04%,95.48%,94.38%,87.54%,88.66%,92.50%,71.21%,32.12%,67.93%,92.76%,45.92%,80.35%,38.58%,50.29%,23.22%
5P5,Surrey PCT,0.39%,3.47%,3.93%,91.79%,87.90%,94.25%,75.30%,92.34%,90.73%,83.26%,83.07%,81.01%,54.12%,29.97%,67.36%,93.65%,39.02%,77.54%,35.60%,43.13%,20.42%
5M7,Sutton And Merton PCT,0.38%,3.97%,4.39%,90.44%,86.99%,93.58%,71.21%,90.10%,89.50%,86.29%,83.76%,77.91%,51.20%,21.91%,63.39%,92.15%,39.41%,79.52%,36.45%,44.47%,20.28%
5K3,Swindon PCT,0.43%,3.88%,4.35%,91.97%,89.54%,94.66%,29.25%,93.21%,91.12%,80.20%,82.68%,85.69%,21.53%,17.36%,53.46%,87.53%,44.18%,78.16%,35.98%,42.62%,17.30%
5LH,Tameside And Glossop PCT,0.41%,4.45%,4.90%,94.34%,90.55%,95.12%,82.12%,94.20%,93.21%,84.18%,83.70%,86.46%,61.43%,24.39%,68.06%,92.89%,46.77%,81.25%,38.75%,47.86%,23.47%
5MK,Telford And Wrekin PCT,0.41%,4.16%,4.62%,90.71%,87.01%,93.48%,73.58%,91.07%,89.05%,85.32%,79.85%,81.21%,52.88%,28.50%,65.24%,91.81%,41.33%,77.87%,32.92%,43.82%,18.86%
TAL,Torbay Care Trust,0.50%,4.69%,5.38%,89.11%,87.37%,93.61%,70.07%,91.91%,89.72%,78.38%,81.22%,63.17%,40.39%,32.85%,62.35%,92.04%,41.94%,79.20%,33.52%,41.35%,17.58%
5C4,Tower Hamlets PCT,0.28%,4.77%,5.08%,93.93%,93.11%,95.98%,76.84%,89.62%,88.82%,77.45%,89.92%,92.08%,59.14%,19.61%,56.52%,88.94%,51.81%,82.62%,50.11%,58.40%,25.85%
5NR,Trafford PCT,0.39%,4.06%,4.51%,93.19%,91.80%,96.12%,70.91%,92.61%,91.93%,84.45%,84.71%,86.17%,54.78%,25.41%,67.12%,93.96%,43.88%,79.51%,40.94%,49.61%,24.90%
5N3,Wakefield District PCT,0.43%,4.34%,4.83%,95.16%,92.14%,97.18%,80.15%,94.06%,92.44%,88.46%,86.49%,88.01%,61.60%,22.83%,62.51%,92.27%,42.08%,79.42%,36.82%,44.51%,20.08%
5M3,Walsall Teaching PCT,0.44%,5.78%,6.27%,93.28%,89.00%,95.76%,82.74%,93.64%,92.66%,75.48%,86.56%,86.27%,55.10%,29.51%,63.38%,92.09%,44.01%,79.66%,34.80%,42.90%,19.35%
5NC,Waltham Forest PCT,0.30%,4.27%,4.72%,89.18%,89.73%,94.01%,77.20%,91.05%,90.00%,80.07%,85.19%,76.62%,50.36%,24.32%,60.69%,89.49%,37.45%,75.69%,32.36%,41.66%,16.86%
5LG,Wandsworth PCT,0.30%,3.19%,3.52%,92.06%,89.67%,94.71%,77.51%,91.88%,90.85%,84.95%,86.22%,82.17%,58.35%,22.31%,61.14%,91.45%,40.55%,78.48%,37.91%,45.54%,20.28%
5J2,Warrington PCT,0.42%,4.13%,4.60%,92.16%,88.37%,95.12%,78.31%,92.69%,90.59%,85.69%,84.75%,78.98%,54.74%,39.03%,71.84%,94.50%,44.65%,80.60%,36.36%,45.36%,22.99%
